"Id","Original_Text","Cleaned_Text"
21,"GG STATUS 1-30-17  **CURRNT  From: Gigi Garcia   Sent: Monday, January 30, 2017 4:02 PM  To: 'CRD Admin' <admin@crdmfg.com>  Subject: CRD MANUFACTURING INC ACCT#9451809 ( account update )     Hi,    Thank you so much for the recent payment. The account today reflects current balance."," status currnt crd admin crd manufacturing account update recent payment account today reflects current balance"
22,"GG 1-30-17  Acct re-assigned to Ranjan India  From: Gigi Garcia   Sent: Monday, January 30, 2017 3:59 PM  To: 'RanjanManjunath@Volt.com' <RanjanManjunath@Volt.com>  Subject: fyi PRINCE LIONHEART acct#0071841 ( OPEN ITEMS)     Hi Ranjan,    Just an fyi, the items on this account dated 10-30 and prior are disputed. You will need to question payment for the items dated 12-25 and 1-1.         Thank you for the support.     Gigi Garcia  Customer Service Account Representative  Volt Information Sciences  Shared Accounting Services  (714)921-7450 tel  (714)921-5563fax  GigiGarcia@Volt.com"," assigned india ranjanmanjunath fyi prince lionheart open items fyi items account prior disputed question payment items support customer service account representative information sciences shared accounting services fax "
23," GG  acct re-assigned to Ranjan, India 01/30/17 15:56:31"," assigned india"
24,"GG STATUS 1-30-17  *Acct re-assigned to Ranjan"," status assigned "
25,"GFYI  From: Gigi Garcia   Sent: Monday, January 30, 2017 3:53 PM  To: Rashmi Kaveramma <RKaveramma@Volt.com>  Subject: 9445549-STEICO INDUSTRIES INC     Hi Rashmi,    Just wanted to connect with you. Your email below dated 1-30  you questioned and invoice that was paid on 1-27-17.  If you are not doing so when questioning invoices you may want to look at Peoplesoft and not Emagia.        Thank you for the support.     Gigi Garcia  Customer Service Account Representative  Volt Information Sciences  Shared Accounting Services  (714)921-7450 tel  (714)921-5563fax  GigiGarcia@Volt.com     From: Rashmi Kaveramma   Sent: Monday, January 30, 2017 10:50 PM  To: 'Kurban@steicoindustries.com'  Cc: Irshad Ahmed  Subject: VOLT-9445549-STEICO INDUSTRIES INC     Hi,    Please provide the payment details for the invoice# 34659337 & 34682630.    Regards,*Rashmi Kaveramma 01/30/17 follow up-Collector follow up  KIM URBAN","gfyi steico industries wanted connect questioned invoice paid questioning invoices peoplesoft emagia support customer service account representative information sciences shared accounting services fax kurban steicoindustries steico industries provide payment details invoice follow collector follow kim urban"
26,"RR_On Credit Utilization Report.  Past due causing over limit. Sent Past Due memo 1/30/17.      From: Ramiro Rivas   Sent: Monday, January 30, 2017 3:52 PM  To: Charmaine Podmore <CPodmore@Volt.com>  Cc: Stuart Brockmeier <SBrockmeier@Volt.com>; Linda Urieta <lurieta@volt.com>; Modesta Perez <MPerez@Volt.com>  Subject: Twin Eagles - #9445708 - Past Due  Importance: High    PAST DUE  Internal Use Only  ________________________________________    Hello Charmaine Podmore,    A review of Twin Eagles (#9445708) indicates a balance of $49,778 owed to Volt of which $25,796 is past due.    Every customer is carefully evaluated to establish a credit limit we believe is consistent with Volt's threshold criteria for credit worthiness. We have established $45,000 as credit limit and believe it is appropriate. Due to the past due, the customer is near or over credit limit, please review and respond if you anticipate business increase?    The policy requires a New Customer Profile be submitted for credit approval before assignment is placed, if adding business on existing customers. This will ensure client is not placed on No Adds Hold due to exceeding credit limit and/or non-payment.  Thank you for your help.    Ramiro Rivas  Credit Analyst  Volt Information Sciences  Shared Accounting Services  2421 N. Glassell Street | Orange, CA 92865  714.921.5585","rr credit utilization report past due causing limit past due memo ramiro rivas charmaine podmore stuart brockmeier linda urieta twin eagles past due importance high past due internal charmaine podmore review twin eagles balance owed past due customer carefully evaluated establish credit limit consistent threshold criteria credit worthiness established credit limit due past due customer credit limit review respond anticipate business increase policy requires customer profile submitted credit approval assignment adding business existing customers ensure client adds hold due exceeding credit limit payment ramiro rivas credit analyst information sciences shared accounting services street orange "
27," GG STATUS 1-30-17  ACCT re-assigned to Rashmi 01/30/17 15:48:35"," status assigned "
28,"GG STATIS 1-30-17  *Acct re-assigned to Rashmi.From: Gigi Garcia   Sent: Monday, January 30, 2017 3:46 PM  To: 'Kathleen Messer' <kmesser@steicoindustries.com>  Cc: Rashmi Kaveramma <RKaveramma@Volt.com>  Subject: STEICO INDUSTRIES INC ACCT#9445549 Invoice for week ending 01-22-17    Hello Kathleen,    Per request please review the attached.     Thank you for being patient.     Gigi Garcia  Customer Service Account Representative  Volt Information Sciences  Shared Accounting Services  (714)921-7450 tel  (714)921-5563fax  GigiGarcia@Volt.com     From: Kathleen Messer [mailto:kmesser@steicoindustries.com]   Sent: Wednesday, January 25, 2017 7:54 AM  To: Gigi Garcia <GigiGarcia@Volt.com>  Cc: Kim Urban <kurban@steicoindustries.com>; Bhavana Thaker <bthaker@steicoindustries.com>; Jodi Spear <JSpear@steicoindustries.com>  Subject: Invoice for week ending 01-22-17    Good Morning Gigi,    Things have been running real smooth lately!  I am just wondering if the invoice for week ending 01-22-17 has been billed?    If so, please forward by email.    Best regards,    Kathy Messer  A/P Specialist  Steico Industries, Inc.  A subsidiary of Senior Operations LLC  Phone (760) 438-8015 ext 138  Fax (760) 496-0225  1814 Ord Way  Oceanside, CA 92056-1502  kmesser@steicoindustries.com  www.steicoindustries.com"," statis assigned kathleen messer steico industries invoice ending kathleen request review attached patient customer service account representative information sciences shared accounting services fax kathleen messer kmesser steicoindustries kim urban bhavana thaker jodi spear invoice ending things running real smooth wondering invoice ending billed forward kathy messer specialist steico industries subsidiary senior operations llc phone ext fax ord oceanside kmesser steicoindustries steicoindustries "
29,"HD*L/m for Marilyn Hurt 309-736-8729looking for payment status for 34555209 and to email me her address so I can email her 2nd page of 34739436"," marilyn hurt payment status address page "
30,"ad 1/30/17  I escalated past due invoices to managers that signed off on timecards and they requested I forward copies so they can get HR to approve. Michael Hayes with Volt also escalated to Talent Acquisition Director/HR.   Note: Main number where everyone can be reached is (714) 739-0770    From: Michael Hayes   Sent: Monday, January 30, 2017 2:51 PM  To: Melinda Starbird <melinda.starbird@esterline.com>; Anna Durling <ADurling@Volt.com>  Subject: Esterline billing Buena Park  Importance: High    Melinda,    I had sent you an aging report on 1-17. You had mentioned there was some turnover in the Buena Park location. I wanted to follow-up with more detail and for these invoices. Hopefully this helps in terms of clean-up. Let us know if you need anything else. Thanks!"," escalated past due invoices managers signed timecards requested forward copies hr approve michael hayes escalated talent acquisition director hr note main number reached michael hayes melinda starbird esterline billing buena park importance high melinda aging report mentioned turnover buena park location wanted follow detail invoices helps terms clean "
31,"Invoice Acctg Date Due Date Balance Employee                         Manager listed on approved timecard  34279126 9/11/2016 10/26/2016 1136.960 Dyer,Richard A Meeran Sharma - 6900 Orangethorp Ave Buena Park  34279554 9/11/2016 10/26/2016 816.000 Sisowath,Thirakvaro Ethel Morgan  34282531 9/11/2016 10/26/2016 1003.680 Zuniga,Noemi Ethel Morgan  34304257 9/18/2016 11/2/2016 1266.160 Dyer,Richard A Meeran Sharma - 6900 Orangethorp Ave Buena Park  34304716 9/18/2016 11/2/2016 816.000 Sisowath,Thirakvaro Ethel Morgan  34308895 9/18/2016 11/2/2016 1126.080 Zuniga,Noemi Ethel Morgan  34328451 9/25/2016 11/9/2016 1072.360 Dyer,Richard A Meeran Sharma - 6900 Orangethorp Ave Buena Park  34328813 9/25/2016 11/9/2016 1383.380 Sisowath,Thirakvaro Ethel Morgan  34332756 9/25/2016 11/9/2016 1162.800 Zuniga,Noemi Ethel Morgan  34354244 10/2/2016 11/16/2016 1096.500 Sisowath,Thirakvaro Ethel Morgan  34358206 10/2/2016 11/16/2016 1052.640 Zuniga,Noemi Ethel Morgan  34433515 10/23/2016 12/7/2016 1126.080 Zuniga,Noemi Ethel Morgan  34451197 10/30/2016 12/14/2016 1345.130 Sisowath,Thirakvaro Ethel Morgan  34530373 11/20/2016 1/4/2017 1440.750 Sisowath,Thirakvaro Ethel Morgan  34546677 11/20/2016 1/4/2017 1479.340 Dyer,Richard A Meeran Sharma - 6900 Orangethorp Ave Buena Park  34553205 11/27/2016 1/11/2017 206.720 Dyer,Richard A Meeran Sharma - 6900 Orangethorp Ave Buena Park  34553497 11/27/2016 1/11/2017 831.940 Sisowath,Thirakvaro Ethel Morgan  34577648 12/4/2016 1/18/2017 1249.500 Sisowath,Thirakvaro Ethel Morgan","invoice acctg due balance employee manager listed approved timecard dyer richard meeran sharma orangethorp ave buena park sisowath thirakvaro ethel morgan zuniga noemi ethel morgan dyer richard meeran sharma orangethorp ave buena park sisowath thirakvaro ethel morgan zuniga noemi ethel morgan dyer richard meeran sharma orangethorp ave buena park sisowath thirakvaro ethel morgan zuniga noemi ethel morgan sisowath thirakvaro ethel morgan zuniga noemi ethel morgan zuniga noemi ethel morgan sisowath thirakvaro ethel morgan sisowath thirakvaro ethel morgan dyer richard meeran sharma orangethorp ave buena park dyer richard meeran sharma orangethorp ave buena park sisowath thirakvaro ethel morgan sisowath thirakvaro ethel morgan"
